_id,emocion,frase
6696a88c332699640dc4e4c9,ansiedad,Tengo miedo de no poder ser yo mismo.
6696a88c332699640dc4e4ca,ansiedad,Siento que mi ansiedad está afectando mis relaciones.
6696a88c332699640dc4e4cb,ansiedad,Tengo miedo de ser juzgado por los demás.
6696a88c332699640dc4e4cc,ansiedad,Siento que mi ansiedad está destruyendo mi vida.
6696a88c332699640dc4e4cd,depresion,No puedo disfrutar de las cosas que solía amar.
6696a88c332699640dc4e4ce,depresion,Me siento vacío por dentro.
6696a88c332699640dc4e4cf,depresion,Siento que no tengo energía para seguir adelante.
6696a88c332699640dc4e4d0,ansiedad,Tengo miedo de estar equivocado.
6696a88c332699640dc4e4d1,depresion,Siento que estoy perdiendo mi capacidad de ser feliz.
6696a88c332699640dc4e4d2,ansiedad,Tengo miedo de no poder ser quien quiero ser.
6696a88c332699640dc4e4d3,depresion,Me siento insatisfecho con todo.
6696a88c332699640dc4e4d4,ansiedad,Tengo miedo de no poder ser libre.
6696a88c332699640dc4e4d5,ansiedad,Siento que mi ansiedad está afectando mis relaciones.
6696a88c332699640dc4e4d6,depresion,Siento que estoy perdiendo mi capacidad de soñar.
6696a88c332699640dc4e4d7,depresion,Me cuesta levantarme por las mañanas.
6696a88c332699640dc4e4d8,depresion,Me siento insatisfecho con todo.
6696a88c332699640dc4e4d9,depresion,Siento que no puedo avanzar en la vida.
6696a88c332699640dc4e4da,ansiedad,Me preocupo demasiado por todo.
6696a88c332699640dc4e4db,depresion,Tengo dificultades para disfrutar de las cosas simples.
6696a88c332699640dc4e4dc,ansiedad,Me siento agotado por mi ansiedad.
6696a88c332699640dc4e4dd,depresion,Me siento como si estuviera en un callejón sin salida.
6696a88c332699640dc4e4de,depresion,Me siento insatisfecho con todo.
6696a88c332699640dc4e4df,ansiedad,Siento que mi ansiedad está controlando mi vida.
6696a88c332699640dc4e4e0,depresion,Me siento sin dirección.
6696a88c332699640dc4e4e1,ansiedad,Tengo miedo de estar equivocado.
6696a88c332699640dc4e4e2,depresion,Tengo problemas para mantenerme concentrado.
6696a88c332699640dc4e4e3,depresion,Siento que estoy perdiendo mi identidad.
6696a88c332699640dc4e4e4,ansiedad,Siento que mi ansiedad está controlando mi vida.
6696a88c332699640dc4e4e5,depresion,Me siento abrumado por todo.
6696a88c332699640dc4e4e6,ansiedad,Me siento abrumado por la ansiedad.
6696a88c332699640dc4e4e7,ansiedad,Me siento abrumado por la ansiedad.
6696a88c332699640dc4e4e8,depresion,Siento que estoy perdiendo mi identidad.
6696a88c332699640dc4e4e9,ansiedad,Siento que estoy en constante alerta.
6696a88c332699640dc4e4ea,ansiedad,Siento que mi ansiedad está arruinando mi vida.
6696a88c332699640dc4e4eb,ansiedad,Siento que mi ansiedad está fuera de control.
6696a88c332699640dc4e4ec,depresion,Siento que estoy perdiendo mi capacidad de sentir.
6696a88c332699640dc4e4ed,depresion,Me siento como si estuviera en una constante espiral descendente.
6696a88c332699640dc4e4ee,ansiedad,Siento que mi ansiedad está afectando mi salud mental.
6696a88c332699640dc4e4ef,ansiedad,Me siento inseguro en situaciones sociales.
6696a88c332699640dc4e4f0,ansiedad,Siento que mi mente no se detiene.
6696a88c332699640dc4e4f1,ansiedad,Siento que mi ansiedad me está consumiendo.
6696a88c332699640dc4e4f2,ansiedad,Me siento constantemente al límite.
6696a88c332699640dc4e4f3,depresion,Me siento abrumado por todo.
6696a88c332699640dc4e4f4,depresion,Siento que no tengo energía para seguir adelante.
6696a88c332699640dc4e4f5,depresion,Tengo problemas para aceptar el apoyo de los demás.
6696a88c332699640dc4e4f6,ansiedad,Me siento inseguro en situaciones sociales.
6696a88c332699640dc4e4f7,ansiedad,Me siento ansioso en situaciones sociales.
6696a88c332699640dc4e4f8,depresion,Me siento como si estuviera en una batalla constante.
6696a88c332699640dc4e4f9,ansiedad,Siento que mi ansiedad está fuera de control.
6696a88c332699640dc4e4fa,depresion,Siento que soy una carga para los demás.
6696a88c332699640dc4e4fb,ansiedad,Me siento inseguro en situaciones sociales.
6696a88c332699640dc4e4fc,depresion,Tengo problemas para mantenerme concentrado.
6696a88c332699640dc4e4fd,depresion,Tengo problemas para encontrar la paz.
6696a88c332699640dc4e4fe,depresion,Siento que estoy en un túnel oscuro.
6696a88c332699640dc4e4ff,depresion,Siento que mi vida está fuera de control.
6696a88c332699640dc4e500,ansiedad,Tengo miedo de tomar decisiones.
6696a88c332699640dc4e501,ansiedad,Siento que mi ansiedad está destruyendo mi mente.
6696a88c332699640dc4e502,ansiedad,Siento que mi ansiedad me controla.
6696a88c332699640dc4e503,ansiedad,Tengo miedo de no poder controlar mi vida.
6696a88c332699640dc4e504,depresion,Tengo problemas para encontrar sentido a la vida.
6696a88c332699640dc4e505,depresion,Me siento como si estuviera caminando en círculos.
6696a88c332699640dc4e506,depresion,Tengo problemas para aceptar el apoyo de los demás.
6696a88c332699640dc4e507,ansiedad,Siento que mi ansiedad está controlando mi vida.
6696a88c332699640dc4e508,depresion,Me siento insatisfecho con todo.
6696a88c332699640dc4e509,depresion,Siento que estoy perdiendo mi capacidad de disfrutar de la vida.
6696a88c332699640dc4e50a,depresion,Tengo problemas para encontrar la paz mental.
6696a88c332699640dc4e50b,ansiedad,Tengo miedo de fracasar.
6696a88c332699640dc4e50c,ansiedad,Tengo miedo de no poder ser quien quiero ser.
6696a88c332699640dc4e50d,ansiedad,Me siento abrumado por la ansiedad.
6696a88c332699640dc4e50e,depresion,Tengo problemas para mantener relaciones.
6696a88c332699640dc4e50f,depresion,Siento que mi vida está en pausa.
6696a88c332699640dc4e510,ansiedad,Tengo miedo de no ser capaz de manejar mi ansiedad.
6696a88c332699640dc4e511,ansiedad,Tengo miedo de no poder ser fuerte.
6696a88c332699640dc4e512,ansiedad,Siento que mi ansiedad está destruyendo mi vida.
6696a88c332699640dc4e513,ansiedad,Tengo miedo de cometer errores.
6696a88c332699640dc4e514,ansiedad,Me siento nervioso todo el tiempo.
6696a88c332699640dc4e515,ansiedad,Me siento constantemente estresado.
6696a88c332699640dc4e516,ansiedad,Me siento inseguro en mi entorno.
6696a88c332699640dc4e517,depresion,Siento que mi vida está fuera de control.
6696a88c332699640dc4e518,ansiedad,Tengo problemas para dormir debido a la ansiedad.
6696a88c332699640dc4e519,ansiedad,Tengo miedo de no poder ser quien quiero ser.
6696a88c332699640dc4e51a,ansiedad,Tengo miedo de ser un fracaso.
6696a88c332699640dc4e51b,depresion,Me siento como si estuviera en un abismo.
6696a88c332699640dc4e51c,depresion,Me cuesta levantarme por las mañanas.
6696a88c332699640dc4e51d,ansiedad,Siento que mi ansiedad está arruinando mi vida.
6696a88c332699640dc4e51e,depresion,Tengo problemas para encontrar claridad en mi mente.
6696a88c332699640dc4e51f,ansiedad,Mi corazón late muy rápido.
6696a88c332699640dc4e520,ansiedad,Tengo miedo de estar solo.
6696a88c332699640dc4e521,ansiedad,Tengo miedo de no poder ser feliz.
6696a88c332699640dc4e522,ansiedad,Me siento constantemente estresado.
6696a88c332699640dc4e523,ansiedad,Tengo miedo de no poder ser feliz.
6696a88c332699640dc4e524,depresion,Siento que no tengo control sobre mis emociones.
6696a88c332699640dc4e525,ansiedad,No puedo concentrarme en nada.
6696a88c332699640dc4e526,depresion,Tengo problemas para encontrar sentido a la vida.
6696a88c332699640dc4e527,depresion,Siento que mi vida está fuera de control.
6696a88c332699640dc4e528,ansiedad,Me siento constantemente estresado.
6696a88c332699640dc4e529,depresion,Me siento abrumado por todo.
6696a88c332699640dc4e52a,depresion,Me siento atrapado en mis pensamientos.
6696a88c332699640dc4e52b,ansiedad,Siento que mi ansiedad está afectando mi salud.
6696a88c332699640dc4e52c,ansiedad,Me preocupo demasiado por todo.
6696a88c332699640dc4e52d,depresion,Siento que no pertenezco a ningún lugar.
6696a88c332699640dc4e52e,depresion,Me siento incapaz de disfrutar de la vida.
6696a88c332699640dc4e52f,ansiedad,Siento que mi ansiedad está afectando mi vida.
6696a88c332699640dc4e530,ansiedad,Tengo miedo de no poder ser feliz.
6696a88c332699640dc4e531,depresion,Tengo problemas para mantener una actitud positiva.
6696a88c332699640dc4e532,depresion,Siento que no tengo futuro.
6696a88c332699640dc4e533,depresion,Me siento como si estuviera viviendo una mentira.
6696a88c332699640dc4e534,depresion,Me siento como si estuviera en un callejón sin salida.
6696a88c332699640dc4e535,depresion,No puedo recordar la última vez que fui feliz.
6696a88c332699640dc4e536,ansiedad,Tengo miedo de lo desconocido.
6696a88c332699640dc4e537,ansiedad,Siento que mi ansiedad está afectando mi bienestar.
6696a88c332699640dc4e538,ansiedad,Tengo miedo de ser rechazado.
6696a88c332699640dc4e539,ansiedad,Tengo miedo de ser juzgado negativamente.
6696a88c332699640dc4e53a,depresion,Siento que no tengo energía para seguir adelante.
6696a88c332699640dc4e53b,depresion,Siento que estoy perdiendo mi sentido de sí mismo.
6696a88c332699640dc4e53c,depresion,Me siento como si estuviera en una constante oscuridad.
6696a88c332699640dc4e53d,depresion,Siento que no tengo a nadie en quien confiar.
6696a88c332699640dc4e53e,depresion,Me siento atrapado en mis pensamientos.
6696a88c332699640dc4e53f,ansiedad,Tengo miedo de no ser capaz de manejar mi ansiedad.
6696a88c332699640dc4e540,ansiedad,Me siento tenso todo el tiempo.
6696a88c332699640dc4e541,depresion,Siento que no puedo confiar en nadie.
6696a88c332699640dc4e542,depresion,Me siento como si estuviera hundiéndome.
6696a88c332699640dc4e543,ansiedad,Tengo miedo de no poder ser quien quiero ser.
6696a88c332699640dc4e544,ansiedad,Siento que mi ansiedad me está consumiendo.
6696a88c332699640dc4e545,ansiedad,Me siento ansioso en situaciones sociales.
6696a88c332699640dc4e546,depresion,Me siento desconectado de mis emociones.
6696a88c332699640dc4e547,ansiedad,Tengo miedo de situaciones cotidianas.
6696a88c332699640dc4e548,depresion,Siento que estoy perdiendo mi capacidad de sentir.
6696a88c332699640dc4e549,ansiedad,Tengo miedo de no poder ser feliz.
6696a88c332699640dc4e54a,depresion,Siento que estoy perdiendo mi capacidad de luchar.
6696a88c332699640dc4e54b,ansiedad,Tengo miedo de hablar en público.
6696a88c332699640dc4e54c,ansiedad,Siento que mi ansiedad está destruyendo mi vida.
6696a88c332699640dc4e54d,depresion,Me siento atrapado en un ciclo de negatividad.
6696a88c332699640dc4e54e,depresion,Tengo problemas para encontrar la motivación para vivir.
6696a88c332699640dc4e54f,depresion,Siento que estoy perdiendo mi sentido de la realidad.
6696a88c332699640dc4e550,depresion,Tengo problemas para encontrar equilibrio en mi vida.
6696a88c332699640dc4e551,depresion,Me siento como si estuviera en una constante oscuridad.
6696a88c332699640dc4e552,ansiedad,Tengo miedo de perder el control.
6696a88c332699640dc4e553,ansiedad,Tengo miedo de no cumplir con las expectativas.
6696a88c332699640dc4e554,ansiedad,Me siento inseguro en situaciones sociales.
6696a88c332699640dc4e555,depresion,Siento que mi vida está en pausa.
6696a88c332699640dc4e556,depresion,Siento que estoy perdiendo la batalla contra la depresión.
6696a88c332699640dc4e557,ansiedad,Siento que mi ansiedad está arruinando mi paz mental.
6696a88c332699640dc4e558,depresion,Siento que mi vida está en pausa.
6696a88c332699640dc4e559,ansiedad,Me siento agotado por mi ansiedad.
6696a88c332699640dc4e55a,ansiedad,Me siento constantemente abrumado.
6696a88c332699640dc4e55b,depresion,Tengo problemas para mantenerme concentrado.
6696a88c332699640dc4e55c,depresion,Tengo problemas para encontrar motivación.
6696a88c332699640dc4e55d,ansiedad,Tengo miedo de no poder ser fuerte.
6696a88c332699640dc4e55e,depresion,Tengo problemas para encontrar la motivación para vivir.
6696a88c332699640dc4e55f,depresion,Me siento desconectado de mis emociones.
6696a88c332699640dc4e560,depresion,Me siento vacío por dentro.
6696a88c332699640dc4e561,depresion,Me siento solo incluso cuando estoy con gente.
6696a88c332699640dc4e562,ansiedad,Siento que mi ansiedad está afectando mi autoestima.
